"redni broj","Vrh","planina ili predeo","NV","SGŠ","IGD","sekcija","napomene"
"78","Zmijnjak","(Nova Varoš)","1224","43⁰25,910‘","19⁰50,746‘","578 2 prijepolje","JZ Srb."
"79","Vranjevina","(Nova Varoš, Ljubiš)","1284","43⁰36,473‘","19⁰50,434‘","528 4 Užice","JZ Srb."
"80","Smiljačka glava","(Nova Varoš, Ljubiš)","1141","43⁰37,688‘","19⁰53,371‘","528 4 Užice","JZ Srb."
"81","Hodževo","(Novi Pazar)","1107","43⁰08,997‘","20⁰24,186‘","579 4 sjenica","JZ Srb."
"82","Veliki vrh","(Novi Pazar)","1079","43⁰06,650‘","20⁰26,626‘","579 4 sjenica","JZ Srb."
"83","Boškovik","(Novi Pazar)","873","43⁰10,400‘","20⁰27,910‘","579 4 sjenica","JZ Srb."
"84","Borovnjak","(Novi Pazar, Sebečevo)","1249","43⁰04,265‘","20⁰26,392‘","579 4 sjenica","JZ Srb."
"85","Vračevac","(Novi Pazar, Sebečevo)","1072","43⁰04,048‘","20⁰23,298‘","579 4 sjenica","JZ Srb."
"86","Vinik","(Novi Pazar, Suva Ćuprija)","1245","43⁰11,654‘","20⁰24,508‘","579 4 sjenica","JZ Srb."
"87","Pleš","(Novi Pazar, Suva Ćuprija)","1184","43⁰11,249‘","20⁰24,946‘","579 4 sjenica","JZ Srb."
"88","Rudine","(Novi Pazar, Suva Ćuprija)","1164","43⁰11,460‘","20⁰21,125‘","579 4 sjenica","JZ Srb."
"89","Veliki vis","(Pljevlja, Krnjača)","1362","43⁰23,014‘","19⁰28,320‘","577 2 Pljevlja","JZ Srb."
"90","Strmečica","(Pljevlja, Krnjača)","1318","43⁰24,741‘","19⁰24,117‘","577 2 Pljevlja","JZ Srb."
"91","Krš","(Požega, Gugalj)","748","43⁰52,898‘","20⁰06,156‘","529 1 Čačak","JZ Srb."
"92","Ljeljenkovača","(Priboj, Krajčinovići)","1023","43⁰29,058‘","19⁰21,091‘","577 2 Pljevlja","JZ Srb."
"93","Veliki vis","(Priboj, Zabrnjica)","1334","43⁰32,770‘","19⁰21,194‘","527 4 višegrad","JZ Srb."
"94","Lisa stena","(Priboj, Zabrnjica)","1323","43⁰33,234‘","19⁰21,780‘","527 4 višegrad","JZ Srb."
"95","Orlovina","(Priboj, Zabrnjica)","1311","43⁰31,802‘","19⁰21,807‘","527 4 višegrad","JZ Srb."
"96","Bijokovo brdo","(Prijepolje)","1263","43⁰ 2,064‘","19⁰ 4,844‘","578 1 prijepolje","JZ Srb."
"97","Pilatovac","(Prijepolje)","1131","43⁰ 2,074‘","19⁰ 4,852‘","578 1 prijepolje","JZ Srb."
"98","Tetaje","(Prijepolje)","990","43⁰ 2,832‘","19⁰ 4,927‘","578 1 prijepolje","JZ Srb."
"99","Sekulića brdo","(Prijepolje)","929","43⁰ 2,889‘","19⁰ 3,179‘","578 1 prijepolje","JZ Srb."
"100","Đurđevo brdo","(Prijepolje, Crkveni Toci)","1127","43⁰ 2,280‘","19⁰ 3,914‘","578 1 prijepolje","JZ Srb."
"101","Brašansko brdo","(Prijepolje, Donje Babine)","1305","43⁰ 24,549‘","19⁰ 32,512‘","578 1 prijepolje","JZ Srb."
"102","Ikanovac ?","(Prijepolje, Seljašnica)","1033","43⁰ 2,107‘","19⁰ 3,940‘","578 1 prijepolje","JZ Srb."
"103","Završje","(Prijepolje, Župa)","1187","43⁰ 20,272‘","19⁰ 36,153‘","578 1 prijepolje","JZ Srb."
"104","Vranja stena","(Prijepolje, Župa)","1044","43⁰ 18,280‘","19⁰ 39,104‘","578 1 prijepolje","JZ Srb."
"105","Mrdelino brdo","(Prilike)","882","43⁰36,169‘","20⁰08,199‘","529 3 Čačak","JZ Srb."
"106","Golo brdo","(Prilike)","864","43⁰39,333‘","20⁰11,489‘","529 3 Čačak","JZ Srb."
"107","Šutelj","(Prilike, Šume)","908","43⁰37,289‘","20⁰13,052‘","529 3 Čačak","JZ Srb."
"108","Gradina","(Prilike,Trešnjevica)","653","43⁰39,853‘","20⁰07,268‘","529 3 Čačak","JZ Srb."
"109","Gradina","(Radobuđa)","693","43⁰43,450‘","20⁰03,365‘","529 3 Čačak","JZ Srb."
"110","Veliko brdo","(Radoševo)","1013","43⁰39,317‘","19⁰56,828‘","528 4 Užice","JZ Srb."
"111","Vrh","(Raduhovice)","1184","43⁰03,138‘","20⁰25,852‘","579 4 sjenica","JZ Srb."
"112","Golo brdo","(Raduhovice)","1140","43⁰01,969‘","20⁰26,252‘","579 4 sjenica","JZ Srb."
"113","Krstac","(Raška)","912","43⁰19,115‘","20⁰34,142‘","580 1 novi pazar","JZ Srb."
"114","Kurjača","(Raška, Deževa)","982","43⁰14,366‘","20⁰29,070‘","579 4 sjenica","JZ Srb."
"115","Kalem","(Raška, Deževa)","963","43⁰13,716‘","20⁰29,791‘","579 4 sjenica","JZ Srb."
"116","V. Stupnik","(Raška, Gornja Brvenica)","858","43⁰19,952‘","20⁰34,890‘","580 1 novi pazar","JZ Srb."
"117","Klekov vrh","(Ravna gora)","1357","43⁰34,196‘","20⁰01,401‘","529 3 Čačak","JZ Srb."
"118","Visioc","(Ravna gora, Deretin)","1109","43⁰29,230‘","20⁰07,586‘"," 579 1 sjenica","JZ Srb."
"119","Gradina","(Šarenik)","1140","43⁰37,134‘","20⁰04,244‘","529 3 Čačak","JZ Srb."
"120","Šerelj","(Sevojno)","649","43⁰50,106‘","19⁰56,030‘","528 2 Užice","JZ Srb."
"121","Krivača","(Studenica)","1217","43⁰28,177‘","20⁰30,782‘","580 1 novi pazar","JZ Srb."
"122","Gradina","(Studenica, isposnica)","1152","43⁰31,883‘","20⁰28,443‘","529 4 Čačak","JZ Srb."
"123","Kamine","(Tutin)","1207","43⁰00,387‘","20⁰22,640‘","579 4 sjenica","JZ Srb."
"124","Karaula","(Tutin, Dolovo)","1306","42°57,457′ N","20°12,782′ E","629 1 Peć","JZ gr.S-CG"
"125","Glavica","(Tutin, Dolovo)","1300","42°57,041′ N","20°13,432′ E","629 1 Peć","JZ gr.S-CG"
"126","Magareći krš","(Tutin, Draga)","1194","42°55,123′ N","20°22,621′ E","629 2 Peć","JZ Srb."
"127","Velja glava","(Tutin, Draga,Zap.Mojstir)","1232","42°54,974′ N","20°23,348′ E","629 2 Peć","JZ Srb."
"128","Samograd","(Tutin, Draga,Zap.Mojstir)","1079","42°55,483′ N","20°24,147′ E","629 2 Peć","JZ Srb."
"129","Crni vrh","(Tutin, Ribariće)","1357","42°58,442′ N","20°24,247′ E","629 2 Peć","JZ Srb."
"130","Karanački vrh","(Tutin, Ribariće)","1245","42°57,540′ N","20°24,621′ E","629 2 Peć","JZ Srb."
"131","Zabelj","(Tutin,Kamine)","1208","43⁰00,594‘","20⁰23,711‘","579 4 sjenica","JZ Srb."
"132","Kadinjača","(Užice)","808","43⁰54,699‘","19⁰44,808‘","528 1 Užice","JZ Srb."
"133","","(Užice, Bele vode)","767","43⁰52,528‘","19⁰48,581‘","528 2 Užice","JZ Srb."
"134","Kućišta","(Užice, Drežnik)","932","43⁰45,535‘","19⁰54,355‘","528 2 Užice","JZ Srb."
"135","Veliki vrh","(Užice, Drežnik)","876","43⁰46,257‘","19⁰53,292‘","528 2 Užice","JZ Srb."
"136","Veliki breg","(Užice, Drežnik)","842","43⁰45,524‘","19⁰56,948‘","528 2 Užice","JZ Srb."
"137","Lazovića brdo","(Užice, Drežnik)","810","43⁰47,363‘","19⁰54,305‘","528 2 Užice","JZ Srb."
"138","Visovi","(Užice, Duboko)","848","43⁰53,951‘","19⁰48,933‘","528 2 Užice","JZ Srb."
"139","Šehovo brdo","(Užice, Duboko)","832","43⁰53,247‘","19⁰50,737‘","528 2 Užice","JZ Srb."
"140","Banovina","(Užice, Duboko)","813","43⁰53,934‘","19⁰51,132‘","528 2 Užice","JZ Srb."
"141","Gradina","(Užice, Potpeć)","931","43⁰47,036‘","19⁰56,538‘","528 2 Užice","JZ Srb."
"142","Bukovik","(Užice, Stapari)","978","43⁰52,848‘","19⁰43,796‘","528 1 Užice","JZ Srb."
"143","Branova glava","(Užice, Stapari)","931","43⁰52,427‘","19⁰42,547‘","528 1 Užice","JZ Srb."
"144","Šuplja stena","(Užice, Stapari)","789","43⁰50,466‘","19⁰44,141‘","528 1 Užice","JZ Srb."
"145","Veliki prisedo","(Užice, Zaglavak)","972","43⁰57,474‘","19⁰45,920‘","528 2 Užice","JZ Srb."
"146","Spasovina","(Zlatarsko jezero)","1200","43⁰28,525‘","19⁰55,575‘","578 2 prijepolje","JZ Srb."
"147","Bandjer","Bandjer","1445","43⁰25,600‘","19⁰20,696‘","577 2 Pljevlja","JZ gr.S-CG"
"148","Veliki vis","Bandjer","1419","43⁰24,691‘","19⁰21,876‘","577 2 Pljevlja","JZ gr.S-CG"
"149","Golet","Bič planina","1386","43⁰34,157‘","19⁰29,664‘","527 4 višegrad","JZ gr.BiH"
"150","Goli vrh","Bič planina","1365","43⁰34,566‘","19⁰28,575‘","527 4 višegrad","JZ gr.BiH"
"151","","Blagaja","844","43⁰46,359‘","20⁰01,231‘","529 1 Čačak","JZ Srb."
"152","Budeč","Budeč","1207","43⁰37,455‘","20⁰01,196‘","529 3 Čačak","JZ Srb."
"153","","Budeč","1112","43⁰37,284‘","20⁰02,088‘","529 3 Čačak","JZ Srb."
"154","Čemernica","Čemernica","1494","43⁰31,261‘","19⁰59,358‘","528 4 Užice","JZ Srb."
"155","Javorić","Čemernica","1486","43⁰30,645‘","19⁰59,401‘","528 4 Užice","JZ Srb."
"156","Krpeljivi vrh","Čemernica","1446","43⁰31,319‘","20⁰00,397‘","529 3 Čačak","JZ Srb."
"157","Žedna glava","Čemernica","1439","43⁰31,464‘","19⁰57,090‘","528 4 Užice","JZ Srb."
"158","Lisina","Čemernica","1399","43⁰30,332‘","20⁰01,951‘","529 3 Čačak","JZ Srb."
"159","Zečki vrh","Čemernica","1396","43⁰29,720‘","20⁰02,911‘"," 579 1 sjenica","JZ Srb."
"160","Jadarevo","Čemernica","1389","43⁰28,687‘","20⁰03,449‘"," 579 1 sjenica","JZ Srb."
"161","Crni vrh","Čemernica","1378","43⁰32,124‘","19⁰56,408‘","528 4 Užice","JZ Srb."
"162","Karaula","Čemernica","1368","43⁰30,955‘","19⁰58,260‘","528 4 Užice","JZ Srb."
"163","Gradac","Čemernica","1347","43⁰33,585‘","19⁰56,383‘","528 4 Užice","JZ Srb."
"164","Pleće","Čemernica","1344","43⁰33,629‘","19⁰55,302‘","528 4 Užice","JZ Srb."
"165","Šiljkati vrh","Čemernica","1334","43⁰30,275‘","19⁰57,408‘","528 4 Užice","JZ Srb."
"166","Stanojev vrh","Čemernica","1325","43⁰30,735‘","19⁰56,381‘","528 4 Užice","JZ Srb."
"167","Biočino brdo","Čemernica","1320","43⁰32,554‘","19⁰55,195‘","528 4 Užice","JZ Srb."
"168","","Čemernica","1258","43⁰31,508‘","19⁰52,241‘","528 4 Užice","JZ Srb."
"169","Piskova glava","Čemernica","1224","43⁰31,181‘","19⁰51,768‘","528 4 Užice","JZ Srb."
"170","Zaborjačko brdo","Čemernica","961","43⁰39,961‘","20⁰24,124‘","529 4 Čačak","JZ Srb."
"171","Vrljan","Čemernica","921","43⁰40,235‘","20⁰25,724‘","529 4 Čačak","JZ Srb."
"172","Smrdljuč","Čemerno","1581","43⁰34,941‘","20⁰25,856‘","529 4 Čačak","JZ Srb."
"173","Kom (Pored Smrdljuča)","Čemerno","1569","43⁰35,106‘","20⁰25,747‘","529 4 Čačak","JZ Srb."
"174","Gusarica","Čemerno","1539","43⁰33,547‘","20⁰30,251‘","530 3 Kraljevo","JZ Srb."
"175","Kom","Čemerno","1537","43⁰34,865‘","20⁰26,829‘","529 4 Čačak","JZ Srb."
"176","Rudo brdo","Čemerno","1487","43⁰34,627‘","20⁰27,601‘","529 4 Čačak","JZ Srb."
"177","","Čemerno","1464","43⁰35,158‘","20⁰24,348‘","529 4 Čačak","JZ Srb."
"178","Gvozdac","Čemerno","1464","43⁰35,154‘","20⁰24,347‘","529 4 Čačak","JZ Srb."
"179","Glavočka planina","Čemerno","1427","43⁰34,113‘","20⁰28,779‘","529 4 Čačak","JZ Srb."
"180","Ravnište (Tičije brdo)","Čemerno","1402","43⁰32,265‘","20⁰32,680‘","530 3 Kraljevo","JZ Srb."
"181","Turčinac","Čemerno","1357","43⁰32,830‘","20⁰25,605‘","529 4 Čačak","JZ Srb."
"182","Goleš","Čemerno","1355","43⁰35,839‘","20⁰23,437‘","529 4 Čačak","JZ Srb."
"183","Vrhovi","Čemerno","1293","43⁰34,379‘","20⁰22,044‘","529 4 Čačak","JZ Srb."
"184","Vidik","Čemerno","1264","43⁰33,546‘","20⁰24,377‘","529 4 Čačak","JZ Srb."
"185","(Mršava livada)","Čemerno","1258","43⁰31,075‘","20⁰34,861‘","530 3 Kraljevo","JZ Srb."
"186","Vis","Čemerno","1246","43⁰38,380‘","20⁰23,706‘","529 4 Čačak","JZ Srb."
"187","Orlji krš","Čemerno","1246","43⁰33,208‘","20⁰29,126‘","529 4 Čačak","JZ Srb."
"188","Ćiće","Čemerno","1208","43⁰36,637‘","20⁰29,078‘","529 4 Čačak","JZ Srb."
"189","Petlovac","Čemerno","1181","43⁰33,021‘","20⁰22,803‘","529 4 Čačak","JZ Srb."
"190","Golo brdo","Čemerno","1178","43⁰29,354‘","20⁰34,531‘","580 1 novi pazar","JZ Srb."
"191","Crkvina","Čemerno","1151","43⁰38,657‘","20⁰25,316‘","529 4 Čačak","JZ Srb."
"192","Grobovi","Čemerno","1105","43⁰37,070‘","20⁰28,424‘","529 4 Čačak","JZ Srb."
"193","","Čemerno","1034","43⁰37,978‘","20⁰20,184‘","529 4 Čačak","JZ Srb."
"194","Kula","Čemerno","1007","43⁰38,451‘","20⁰26,047‘","529 4 Čačak","JZ Srb."
"195","Demeronja","Čemerno","739","43⁰35,284‘","20⁰33,954‘","530 3 Kraljevo","JZ Srb."
"196","Orljujak","Čemerno","694","43⁰34,569‘","20⁰34,953‘","530 3 Kraljevo","JZ Srb."
"197","Kolevka","Čemerno","610","43⁰32,835‘","20⁰36,673‘","530 3 Kraljevo","JZ Srb."
"198","Metalica","Čemerno (Orlja glava)","1293","43⁰32,325‘","20⁰26,306‘","529 4 Čačak","JZ Srb."
"199","Kukavica","Čemerno (Orlja glava)","1254","43⁰31,981‘","20⁰26,467‘","529 4 Čačak","JZ Srb."
"200","Pavlova glava","Čemerno (Osonica)","1139","43⁰36,042‘","20⁰21,388‘","529 4 Čačak","JZ Srb."
"201","Pavlova glava","Čemerno (Osonica)","1130","43⁰34,736‘","20⁰19,198‘","529 4 Čačak","JZ Srb."
"202","Veliki Tmor","Gajeva planina","1280","43⁰35,423‘","19⁰20,242‘","527 4 višegrad","JZ Srb."
"203","","Gajeva planina","1174","43⁰35,275‘","19⁰19,148‘","527 4 višegrad","JZ Srb."
"204","Jelenak","Giljeva","1617","43⁰10,757‘","19⁰54,756‘","578  4 Prijepolje","JZ Srb."
"205","Bečovina","Giljeva","1570","43⁰10,317‘","19⁰55,581‘","578  4 Prijepolje","JZ Srb."
"206","Roguša","Giljeva","1499","43⁰08,839‘","19⁰58,038‘","578  4 Prijepolje","JZ Srb."
"207","Turski vrh","Giljeva","1479","43⁰09,491‘","19⁰58,693‘","578  4 Prijepolje","JZ Srb."
"208","Šupljica","Giljeva","1463","43⁰10,530‘","19⁰57,389‘","578  4 Prijepolje","JZ Srb."
"209","Tisovac","Giljeva","1444","43⁰10,539‘","20⁰00,445‘","579 3 sjenica","JZ Srb."
"210","Đed","Giljeva","1444","43⁰08,980‘","20⁰00,457‘","579 3 sjenica","JZ Srb."
"211","Vetreno brdo","Giljeva","1432","43⁰10,668‘","20⁰03,820‘","579 3 sjenica","JZ Srb."
"212","Kobilica","Giljeva","1432","43⁰11,025‘","20⁰02,975‘","579 3 sjenica","JZ Srb."
"213","Borovnjak","Giljeva","1426","43⁰11,401‘","20⁰03,780‘","579 3 sjenica","JZ Srb."
"214","Veliko brdo","Giljeva","1408","43⁰08,376‘","20⁰00,974‘","579 3 sjenica","JZ Srb."
"215","Veliki čukar","Giljeva","1392","43⁰08,321‘","20⁰05,657‘","579 3 sjenica","JZ Srb."
"216","Kleča","Giljeva","1364","43⁰09,455‘","20⁰02,576‘","579 3 sjenica","JZ Srb."
"217","Glavica","Gola brda","1318","43⁰26,612‘","19⁰27,719‘","577 2 Pljevlja","JZ Srb."
"218","Morno brdo","Gola brda","1293","43⁰25,192‘","19⁰27,771‘","577 2 Pljevlja","JZ Srb."
"219","Borova glava","Gola brda","1227","43⁰25,178‘","19⁰26,007‘","577 2 Pljevlja","JZ Srb."
"220","Jankov kamen","Golija","1833","43⁰20,345‘","20⁰16,908‘","579 2 sjenica","JZ Srb."
"221","Vrhovi","Golija","1801","43⁰17,766‘","20⁰20,924‘","579 2 sjenica","JZ Srb."
"222","Crni vrh","Golija","1795","43⁰18,711‘","20⁰23,785‘","579 2 sjenica","JZ Srb."
"223","Krnjača","Golija","1762","43⁰17,903‘","20⁰23,838‘","579 2 sjenica","JZ Srb."
"224","Bojevo brdo","Golija","1752","43⁰20,625‘","20⁰14,170‘"," 579 1 sjenica","JZ Srb."
"225","Careva glava","Golija","1721","43⁰18,659‘","20⁰18,880‘","579 2 sjenica","JZ Srb."
"226","Tašove livade","Golija","1693","43⁰21,369‘","20⁰14,529‘"," 579 1 sjenica","JZ Srb."
"227","Kula","Golija","1674","43⁰16,453‘","20⁰20,357‘","579 2 sjenica","JZ Srb."
"228","Vlasovo","Golija","1591","43⁰21,278‘","20⁰13,557‘"," 579 1 sjenica","JZ Srb."
"229","Jadovita","Golija","1562","43⁰20,032‘","20⁰25,773‘","579 2 sjenica","JZ Srb."
"230","Jugovac","Golija","1538","43⁰21,261‘","20⁰20,062‘","579 2 sjenica","JZ Srb."
"231","","Golija","1536","43⁰25,982‘","20⁰16,670‘","579 2 sjenica","JZ Srb."
"232","Vlaovac","Golija","1535","43⁰25,059‘","20⁰18,804‘","579 2 sjenica","JZ Srb."
"233","Žarkovica","Golija","1516","43⁰25,187‘","20⁰17,661‘","579 2 sjenica","JZ Srb."
