"redni broj","Vrh","planina ili predeo","NV","SGŠ","IGD","sekcija","napomene"
"18","Brdo","(Biljevac)","873","43°41,095‘","20°00,500‘","529 3 Cacak","JZ Srb."
"19","Popovina","(Braneško polje)","803","43°47,743‘","19°42,787‘","528 1 Užice","JZ Srb."
"20","Lupoglav","(Bratiljevo, Kumanica)","1200","43°29,025‘","20°11,507‘"," 579 1 sjenica","JZ Srb."
"21","Crni vrh","(Brekovo)","1188","43°38,069‘","19°59,870‘","528 4 Užice","JZ Srb."
"22","(Bjeluša)","(Brekovo)","1028","43°38,135‘","19°58,484‘","528 4 Užice","JZ Srb."
"23","Lukica vrhovi","(Brekovo)","1004","43°39,060‘","20°01,236‘","529 3 Cacak","JZ Srb."
"24","Crkvina","(Devici)","1516","43°24,438‘","20°25,050‘","579 2 sjenica","JZ Srb."
"25","Oštri vrh","(Devici)","1492","43°23,569‘","20°25,226‘","579 2 sjenica","JZ Srb."
"26","Dujevica","(Devici)","1341","43°25,286‘","20°21,473‘","579 2 sjenica","JZ Srb."
"27","Kozjaca","(Devici)","1322","43°26,241‘","20°21,159‘","579 2 sjenica","JZ Srb."
"28","Krlje","(Devici)","1304","43°23,945‘","20°22,841‘","579 2 sjenica","JZ Srb."
"29","Sedalac","(Dobrace)","1036","43°38,829‘","20°03,460‘","529 3 Cacak","JZ Srb."
"30","Kovacica","(Dobrace)","999","43°39,598‘","20°01,621‘","529 3 Cacak","JZ Srb."
"31","Micovo sjeno","(Gostun)","1083","43°10,822‘","19°47,099‘","578  4 Prijepolje","JZ Srb."
"32","Oruljak","(Gostun)","1073","43°11,433‘","19°46,956‘","578  4 Prijepolje","JZ Srb."
"33","Crni vrh","(Gostun, Zahumsko)","1299","43°08,023‘","19°50,034‘","578  4 Prijepolje","JZ Srb."
"34","Klik","(Granica, Pljevlja)","1336","43°23,803‘","19°24,132‘","577 2 Pljevlja","JZ gr.S-CG"
"35","Kulaja","(Guca, Kotraža)","831","43°40,326‘","20°12,778‘","529 3 Cacak","JZ Srb."
"36","Titma","(Guca, Rti)","648","43°43,815‘","20°15,517‘","529 4 Cacak","JZ Srb."
"37","Racipolje","(Ivanjica)","1047","43°33,799‘","20°10,853‘","529 3 Cacak","JZ Srb."
"38","Veliki vrh","(Ivanjica)","1031","43°33,966‘","20°11,680‘","529 3 Cacak","JZ Srb."
"39","Cava","(Ivanjica)","978","43°34,679‘","20°10,915‘","529 3 Cacak","JZ Srb."
"40","Oštri vrh","(Ivanjica)","976","43°33,889‘","20°13,460‘","529 3 Cacak","JZ Srb."
"41","Vis","(Ivanjica)","913","43°35,208‘","20°12,011‘","529 3 Cacak","JZ Srb."
"42","Bojanski vis","(Ivanjica, Brezova)","1034","43°31,825‘","20°04,862‘","529 3 Cacak","JZ Srb."
"43","Božac","(Ivanjica, Budoželja)","1281","43°32,718‘","20°19,111‘","529 4 Cacak","JZ Srb."
"44","Drvnik","(Ivanjica, Budoželja)","1105","43°33,694‘","20°18,441‘","529 4 Cacak","JZ Srb."
"45","Stolovak","(Ivanjica, Dobri do)","1298","43°30,906‘","20°23,364‘","529 4 Cacak","JZ Srb."
"46","Veliki lom","(Ivanjica, Dobri do)","1286","43°29,064‘","20°20,636‘","579 2 sjenica","JZ Srb."
"47","Tilova cukara","(Ivanjica, Dobri do)","1228","43°31,051‘","20°22,255‘","529 4 Cacak","JZ Srb."
"48","Žarac","(Ivanjica, Dobri do)","1199","43°30,995‘","20°24,236‘","529 4 Cacak","JZ Srb."
"49","Mace","(Ivanjica, Dubrava)","1095","43°34,866‘","20°05,026‘","529 3 Cacak","JZ Srb."
"50","","(Ivanjica, Jolovici)","918","43°38,353‘","20°15,228‘","529 4 Cacak","JZ Srb."
"51","Lucko brdo","(Ivanjica, Krdžici)","895","43°38,516‘","20°17,895‘","529 4 Cacak","JZ Srb."
"52","Stragacinsko brdo","(Ivanjica, Kušici, Maskova)","1026","43°31,765‘","20°03,624‘","529 3 Cacak","JZ Srb."
"53","Teprc","(Ivanjica, Luke)","927","43°35,098‘","20°16,209‘","529 4 Cacak","JZ Srb."
"54","Cava","(Ivanjica, Medurecje)","1215","43°32,124‘","20°08,956‘","529 3 Cacak","JZ Srb."
"55","Crvena gora","(Ivanjica, Medurecje)","1170","43°32,159‘","20°10,459‘","529 3 Cacak","JZ Srb."
"56","Planinicko brdo","(Ivanjica, Medurecje)","1148","43°32,841‘","20°07,675‘","529 3 Cacak","JZ Srb."
"57","Kosovicko brdo","(Ivanjica, Medurecje)","1078","43°30,401‘","20°12,128‘","529 3 Cacak","JZ Srb."
"58","Klikovi","(Ivanjica, Medurecje)","1012","43°33,091‘","20°10,776‘","529 3 Cacak","JZ Srb."
"59","Opaljenik?","(Ivanjica, Opaljenik)","1173","43°31,363‘","20°06,553‘","529 3 Cacak","JZ Srb."
"60","","(Ivanjica, Opaljenik)","1165","43°31,494‘","20°07,219‘","529 3 Cacak","JZ Srb."
"61","Završje","(Ivanjica, Vuckovica)","828","43°40,524‘","20°18,442‘","529 4 Cacak","JZ Srb."
"62","Rasimeta","(Ivanjica, Vuckovica)","770","43°40,124‘","20°15,674‘","529 4 Cacak","JZ Srb."
"63","Žuta stena","(Ivanjica, Vuckovica)","751","43°41,450‘","20°15,614‘","529 4 Cacak","JZ Srb."
"64","Zecija glava","(Komarani)","1272","43° 15,173‘","19° 38,293‘","578 1 prijepolje","JZ Srb."
"65","Nešcenica","(Komarani)","1159","43° 16,145‘","19° 41,039‘","578 1 prijepolje","JZ Srb."
"66","Šibut","(Komarani, Kruševo)","1026","43° 1,970‘","19° 4,716‘","578 1 prijepolje","JZ Srb."
"67","Palež","(Kosjeric)","821","43°58,935‘","19°53,679‘","528 2 Užice","JZ Srb."
"68","Gradina","(Kosjeric)","772","43°58,822‘","19°55,267‘","528 2 Užice","JZ Srb."
"69","Strmac","(Kremna)","907","43°50,571‘","19°38,833‘","528 1 Užice","JZ Srb."
"70","Mramor","(Kremna)","866","43°51,247‘","19°36,810‘","528 1 Užice","JZ Srb."
"71","Princevo brdo","(Kumanica)","1034","43°28,577‘","20°13,470‘"," 579 1 sjenica","JZ Srb."
"72","Cerovo","(Mackat)","900","43°46,649‘","19°46,854‘","528 2 Užice","JZ Srb."
"73","Promaha","(Manastir Mileševa)","1311","43° 2,931‘","19° 4,842‘","578 1 prijepolje","JZ Srb."
"74","Vranovina","(Manastir Mileševa)","1113","43° 2,859‘","19° 4,795‘","578 1 prijepolje","JZ Srb."
"75","Titerovac","(Manastir Mileševa)","960","43° 2,354‘","19° 4,520‘","578 1 prijepolje","JZ Srb."
"76","Mazgit","(Nova Varoš)","1259","43°28,256‘","19°53,097‘","578 2 prijepolje","JZ Srb."
"77","Sjekirica","(Nova Varoš)","1244","43°27,893‘","19°51,017‘","578 2 prijepolje","JZ Srb."
"78","Zmijnjak","(Nova Varoš)","1224","43°25,910‘","19°50,746‘","578 2 prijepolje","JZ Srb."
"79","Vranjevina","(Nova Varoš, Ljubiš)","1284","43°36,473‘","19°50,434‘","528 4 Užice","JZ Srb."
"80","Smiljacka glava","(Nova Varoš, Ljubiš)","1141","43°37,688‘","19°53,371‘","528 4 Užice","JZ Srb."
"81","Hodževo","(Novi Pazar)","1107","43°08,997‘","20°24,186‘","579 4 sjenica","JZ Srb."
"82","Veliki vrh","(Novi Pazar)","1079","43°06,650‘","20°26,626‘","579 4 sjenica","JZ Srb."
"83","Boškovik","(Novi Pazar)","873","43°10,400‘","20°27,910‘","579 4 sjenica","JZ Srb."
"84","Borovnjak","(Novi Pazar, Sebecevo)","1249","43°04,265‘","20°26,392‘","579 4 sjenica","JZ Srb."
"85","Vracevac","(Novi Pazar, Sebecevo)","1072","43°04,048‘","20°23,298‘","579 4 sjenica","JZ Srb."
"86","Vinik","(Novi Pazar, Suva Cuprija)","1245","43°11,654‘","20°24,508‘","579 4 sjenica","JZ Srb."
"87","Pleš","(Novi Pazar, Suva Cuprija)","1184","43°11,249‘","20°24,946‘","579 4 sjenica","JZ Srb."
"88","Rudine","(Novi Pazar, Suva Cuprija)","1164","43°11,460‘","20°21,125‘","579 4 sjenica","JZ Srb."
"89","Veliki vis","(Pljevlja, Krnjaca)","1362","43°23,014‘","19°28,320‘","577 2 Pljevlja","JZ Srb."
"90","Strmecica","(Pljevlja, Krnjaca)","1318","43°24,741‘","19°24,117‘","577 2 Pljevlja","JZ Srb."
"91","Krš","(Požega, Gugalj)","748","43°52,898‘","20°06,156‘","529 1 Cacak","JZ Srb."
"92","Ljeljenkovaca","(Priboj, Krajcinovici)","1023","43°29,058‘","19°21,091‘","577 2 Pljevlja","JZ Srb."
"93","Veliki vis","(Priboj, Zabrnjica)","1334","43°32,770‘","19°21,194‘","527 4 višegrad","JZ Srb."
"94","Lisa stena","(Priboj, Zabrnjica)","1323","43°33,234‘","19°21,780‘","527 4 višegrad","JZ Srb."
"95","Orlovina","(Priboj, Zabrnjica)","1311","43°31,802‘","19°21,807‘","527 4 višegrad","JZ Srb."
"96","Bijokovo brdo","(Prijepolje)","1263","43° 2,064‘","19° 4,844‘","578 1 prijepolje","JZ Srb."
"97","Pilatovac","(Prijepolje)","1131","43° 2,074‘","19° 4,852‘","578 1 prijepolje","JZ Srb."
"98","Tetaje","(Prijepolje)","990","43° 2,832‘","19° 4,927‘","578 1 prijepolje","JZ Srb."
"99","Sekulica brdo","(Prijepolje)","929","43° 2,889‘","19° 3,179‘","578 1 prijepolje","JZ Srb."
"100","Ðurdevo brdo","(Prijepolje, Crkveni Toci)","1127","43° 2,280‘","19° 3,914‘","578 1 prijepolje","JZ Srb."
"101","Brašansko brdo","(Prijepolje, Donje Babine)","1305","43° 24,549‘","19° 32,512‘","578 1 prijepolje","JZ Srb."
"102","Ikanovac ?","(Prijepolje, Seljašnica)","1033","43° 2,107‘","19° 3,940‘","578 1 prijepolje","JZ Srb."
"103","Završje","(Prijepolje, Župa)","1187","43° 20,272‘","19° 36,153‘","578 1 prijepolje","JZ Srb."
"104","Vranja stena","(Prijepolje, Župa)","1044","43° 18,280‘","19° 39,104‘","578 1 prijepolje","JZ Srb."
"105","Mrdelino brdo","(Prilike)","882","43°36,169‘","20°08,199‘","529 3 Cacak","JZ Srb."
"106","Golo brdo","(Prilike)","864","43°39,333‘","20°11,489‘","529 3 Cacak","JZ Srb."
"107","Šutelj","(Prilike, Šume)","908","43°37,289‘","20°13,052‘","529 3 Cacak","JZ Srb."
"108","Gradina","(Prilike,Trešnjevica)","653","43°39,853‘","20°07,268‘","529 3 Cacak","JZ Srb."
"109","Gradina","(Radobuda)","693","43°43,450‘","20°03,365‘","529 3 Cacak","JZ Srb."
"110","Veliko brdo","(Radoševo)","1013","43°39,317‘","19°56,828‘","528 4 Užice","JZ Srb."
"111","Vrh","(Raduhovice)","1184","43°03,138‘","20°25,852‘","579 4 sjenica","JZ Srb."
"112","Golo brdo","(Raduhovice)","1140","43°01,969‘","20°26,252‘","579 4 sjenica","JZ Srb."
"113","Krstac","(Raška)","912","43°19,115‘","20°34,142‘","580 1 novi pazar","JZ Srb."
"114","Kurjaca","(Raška, Deževa)","982","43°14,366‘","20°29,070‘","579 4 sjenica","JZ Srb."
"115","Kalem","(Raška, Deževa)","963","43°13,716‘","20°29,791‘","579 4 sjenica","JZ Srb."
"116","V. Stupnik","(Raška, Gornja Brvenica)","858","43°19,952‘","20°34,890‘","580 1 novi pazar","JZ Srb."
"117","Klekov vrh","(Ravna gora)","1357","43°34,196‘","20°01,401‘","529 3 Cacak","JZ Srb."
"118","Visioc","(Ravna gora, Deretin)","1109","43°29,230‘","20°07,586‘"," 579 1 sjenica","JZ Srb."
"119","Gradina","(Šarenik)","1140","43°37,134‘","20°04,244‘","529 3 Cacak","JZ Srb."
"120","Šerelj","(Sevojno)","649","43°50,106‘","19°56,030‘","528 2 Užice","JZ Srb."
"121","Krivaca","(Studenica)","1217","43°28,177‘","20°30,782‘","580 1 novi pazar","JZ Srb."
"122","Gradina","(Studenica, isposnica)","1152","43°31,883‘","20°28,443‘","529 4 Cacak","JZ Srb."
"123","Kamine","(Tutin)","1207","43°00,387‘","20°22,640‘","579 4 sjenica","JZ Srb."
"124","Karaula","(Tutin, Dolovo)","1306","42°57,457' N","20°12,782' E","629 1 Pec","JZ gr.S-CG"
"125","Glavica","(Tutin, Dolovo)","1300","42°57,041' N","20°13,432' E","629 1 Pec","JZ gr.S-CG"
"126","Magareci krš","(Tutin, Draga)","1194","42°55,123' N","20°22,621' E","629 2 Pec","JZ Srb."
"127","Velja glava","(Tutin, Draga,Zap.Mojstir)","1232","42°54,974' N","20°23,348' E","629 2 Pec","JZ Srb."
"128","Samograd","(Tutin, Draga,Zap.Mojstir)","1079","42°55,483' N","20°24,147' E","629 2 Pec","JZ Srb."
"129","Crni vrh","(Tutin, Ribarice)","1357","42°58,442' N","20°24,247' E","629 2 Pec","JZ Srb."
"130","Karanacki vrh","(Tutin, Ribarice)","1245","42°57,540' N","20°24,621' E","629 2 Pec","JZ Srb."
"131","Zabelj","(Tutin,Kamine)","1208","43°00,594‘","20°23,711‘","579 4 sjenica","JZ Srb."
"132","Kadinjaca","(Užice)","808","43°54,699‘","19°44,808‘","528 1 Užice","JZ Srb."
"133","","(Užice, Bele vode)","767","43°52,528‘","19°48,581‘","528 2 Užice","JZ Srb."
"134","Kucišta","(Užice, Drežnik)","932","43°45,535‘","19°54,355‘","528 2 Užice","JZ Srb."
"135","Veliki vrh","(Užice, Drežnik)","876","43°46,257‘","19°53,292‘","528 2 Užice","JZ Srb."
"136","Veliki breg","(Užice, Drežnik)","842","43°45,524‘","19°56,948‘","528 2 Užice","JZ Srb."
"137","Lazovica brdo","(Užice, Drežnik)","810","43°47,363‘","19°54,305‘","528 2 Užice","JZ Srb."
"138","Visovi","(Užice, Duboko)","848","43°53,951‘","19°48,933‘","528 2 Užice","JZ Srb."
"139","Šehovo brdo","(Užice, Duboko)","832","43°53,247‘","19°50,737‘","528 2 Užice","JZ Srb."
"140","Banovina","(Užice, Duboko)","813","43°53,934‘","19°51,132‘","528 2 Užice","JZ Srb."
"141","Gradina","(Užice, Potpec)","931","43°47,036‘","19°56,538‘","528 2 Užice","JZ Srb."
"142","Bukovik","(Užice, Stapari)","978","43°52,848‘","19°43,796‘","528 1 Užice","JZ Srb."
"143","Branova glava","(Užice, Stapari)","931","43°52,427‘","19°42,547‘","528 1 Užice","JZ Srb."
"144","Šuplja stena","(Užice, Stapari)","789","43°50,466‘","19°44,141‘","528 1 Užice","JZ Srb."
"145","Veliki prisedo","(Užice, Zaglavak)","972","43°57,474‘","19°45,920‘","528 2 Užice","JZ Srb."
"146","Spasovina","(Zlatarsko jezero)","1200","43°28,525‘","19°55,575‘","578 2 prijepolje","JZ Srb."
"147","Bandjer","Bandjer","1445","43°25,600‘","19°20,696‘","577 2 Pljevlja","JZ gr.S-CG"
"148","Veliki vis","Bandjer","1419","43°24,691‘","19°21,876‘","577 2 Pljevlja","JZ gr.S-CG"
"149","Golet","Bic planina","1386","43°34,157‘","19°29,664‘","527 4 višegrad","JZ gr.BiH"
"150","Goli vrh","Bic planina","1365","43°34,566‘","19°28,575‘","527 4 višegrad","JZ gr.BiH"
"151","","Blagaja","844","43°46,359‘","20°01,231‘","529 1 Cacak","JZ Srb."
"152","Budec","Budec","1207","43°37,455‘","20°01,196‘","529 3 Cacak","JZ Srb."
"153","","Budec","1112","43°37,284‘","20°02,088‘","529 3 Cacak","JZ Srb."
"154","Cemernica","Cemernica","1494","43°31,261‘","19°59,358‘","528 4 Užice","JZ Srb."
"155","Javoric","Cemernica","1486","43°30,645‘","19°59,401‘","528 4 Užice","JZ Srb."
"156","Krpeljivi vrh","Cemernica","1446","43°31,319‘","20°00,397‘","529 3 Cacak","JZ Srb."
"157","Žedna glava","Cemernica","1439","43°31,464‘","19°57,090‘","528 4 Užice","JZ Srb."
"158","Lisina","Cemernica","1399","43°30,332‘","20°01,951‘","529 3 Cacak","JZ Srb."
"159","Zecki vrh","Cemernica","1396","43°29,720‘","20°02,911‘"," 579 1 sjenica","JZ Srb."
"160","Jadarevo","Cemernica","1389","43°28,687‘","20°03,449‘"," 579 1 sjenica","JZ Srb."
"161","Crni vrh","Cemernica","1378","43°32,124‘","19°56,408‘","528 4 Užice","JZ Srb."
"162","Karaula","Cemernica","1368","43°30,955‘","19°58,260‘","528 4 Užice","JZ Srb."
"163","Gradac","Cemernica","1347","43°33,585‘","19°56,383‘","528 4 Užice","JZ Srb."
"164","Plece","Cemernica","1344","43°33,629‘","19°55,302‘","528 4 Užice","JZ Srb."
"165","Šiljkati vrh","Cemernica","1334","43°30,275‘","19°57,408‘","528 4 Užice","JZ Srb."
"166","Stanojev vrh","Cemernica","1325","43°30,735‘","19°56,381‘","528 4 Užice","JZ Srb."
"167","Biocino brdo","Cemernica","1320","43°32,554‘","19°55,195‘","528 4 Užice","JZ Srb."
"168","","Cemernica","1258","43°31,508‘","19°52,241‘","528 4 Užice","JZ Srb."
"169","Piskova glava","Cemernica","1224","43°31,181‘","19°51,768‘","528 4 Užice","JZ Srb."
"170","Zaborjacko brdo","Cemernica","961","43°39,961‘","20°24,124‘","529 4 Cacak","JZ Srb."
"171","Vrljan","Cemernica","921","43°40,235‘","20°25,724‘","529 4 Cacak","JZ Srb."
"172","Smrdljuc","Cemerno","1581","43°34,941‘","20°25,856‘","529 4 Cacak","JZ Srb."
"173","Kom (Pored Smrdljuca)","Cemerno","1569","43°35,106‘","20°25,747‘","529 4 Cacak","JZ Srb."
"174","Gusarica","Cemerno","1539","43°33,547‘","20°30,251‘","530 3 Kraljevo","JZ Srb."
"175","Kom","Cemerno","1537","43°34,865‘","20°26,829‘","529 4 Cacak","JZ Srb."
"176","Rudo brdo","Cemerno","1487","43°34,627‘","20°27,601‘","529 4 Cacak","JZ Srb."
"177","","Cemerno","1464","43°35,158‘","20°24,348‘","529 4 Cacak","JZ Srb."
"178","Gvozdac","Cemerno","1464","43°35,154‘","20°24,347‘","529 4 Cacak","JZ Srb."
"179","Glavocka planina","Cemerno","1427","43°34,113‘","20°28,779‘","529 4 Cacak","JZ Srb."
"180","Ravnište (Ticije brdo)","Cemerno","1402","43°32,265‘","20°32,680‘","530 3 Kraljevo","JZ Srb."
"181","Turcinac","Cemerno","1357","43°32,830‘","20°25,605‘","529 4 Cacak","JZ Srb."
"182","Goleš","Cemerno","1355","43°35,839‘","20°23,437‘","529 4 Cacak","JZ Srb."
"183","Vrhovi","Cemerno","1293","43°34,379‘","20°22,044‘","529 4 Cacak","JZ Srb."
"184","Vidik","Cemerno","1264","43°33,546‘","20°24,377‘","529 4 Cacak","JZ Srb."
"185","(Mršava livada)","Cemerno","1258","43°31,075‘","20°34,861‘","530 3 Kraljevo","JZ Srb."
"186","Vis","Cemerno","1246","43°38,380‘","20°23,706‘","529 4 Cacak","JZ Srb."
"187","Orlji krš","Cemerno","1246","43°33,208‘","20°29,126‘","529 4 Cacak","JZ Srb."
"188","Cice","Cemerno","1208","43°36,637‘","20°29,078‘","529 4 Cacak","JZ Srb."
"189","Petlovac","Cemerno","1181","43°33,021‘","20°22,803‘","529 4 Cacak","JZ Srb."
"190","Golo brdo","Cemerno","1178","43°29,354‘","20°34,531‘","580 1 novi pazar","JZ Srb."
"191","Crkvina","Cemerno","1151","43°38,657‘","20°25,316‘","529 4 Cacak","JZ Srb."
"192","Grobovi","Cemerno","1105","43°37,070‘","20°28,424‘","529 4 Cacak","JZ Srb."
"193","","Cemerno","1034","43°37,978‘","20°20,184‘","529 4 Cacak","JZ Srb."
"194","Kula","Cemerno","1007","43°38,451‘","20°26,047‘","529 4 Cacak","JZ Srb."
"195","Demeronja","Cemerno","739","43°35,284‘","20°33,954‘","530 3 Kraljevo","JZ Srb."
"196","Orljujak","Cemerno","694","43°34,569‘","20°34,953‘","530 3 Kraljevo","JZ Srb."
"197","Kolevka","Cemerno","610","43°32,835‘","20°36,673‘","530 3 Kraljevo","JZ Srb."
"198","Metalica","Cemerno (Orlja glava)","1293","43°32,325‘","20°26,306‘","529 4 Cacak","JZ Srb."
"199","Kukavica","Cemerno (Orlja glava)","1254","43°31,981‘","20°26,467‘","529 4 Cacak","JZ Srb."
"200","Pavlova glava","Cemerno (Osonica)","1139","43°36,042‘","20°21,388‘","529 4 Cacak","JZ Srb."
"201","Pavlova glava","Cemerno (Osonica)","1130","43°34,736‘","20°19,198‘","529 4 Cacak","JZ Srb."
"202","Veliki Tmor","Gajeva planina","1280","43°35,423‘","19°20,242‘","527 4 višegrad","JZ Srb."
"203","","Gajeva planina","1174","43°35,275‘","19°19,148‘","527 4 višegrad","JZ Srb."
"204","Jelenak","Giljeva","1617","43°10,757‘","19°54,756‘","578  4 Prijepolje","JZ Srb."
"205","Becovina","Giljeva","1570","43°10,317‘","19°55,581‘","578  4 Prijepolje","JZ Srb."
"206","Roguša","Giljeva","1499","43°08,839‘","19°58,038‘","578  4 Prijepolje","JZ Srb."
"207","Turski vrh","Giljeva","1479","43°09,491‘","19°58,693‘","578  4 Prijepolje","JZ Srb."
"208","Šupljica","Giljeva","1463","43°10,530‘","19°57,389‘","578  4 Prijepolje","JZ Srb."
"209","Tisovac","Giljeva","1444","43°10,539‘","20°00,445‘","579 3 sjenica","JZ Srb."
"210","Ðed","Giljeva","1444","43°08,980‘","20°00,457‘","579 3 sjenica","JZ Srb."
"211","Vetreno brdo","Giljeva","1432","43°10,668‘","20°03,820‘","579 3 sjenica","JZ Srb."
"212","Kobilica","Giljeva","1432","43°11,025‘","20°02,975‘","579 3 sjenica","JZ Srb."
"213","Borovnjak","Giljeva","1426","43°11,401‘","20°03,780‘","579 3 sjenica","JZ Srb."
"214","Veliko brdo","Giljeva","1408","43°08,376‘","20°00,974‘","579 3 sjenica","JZ Srb."
"215","Veliki cukar","Giljeva","1392","43°08,321‘","20°05,657‘","579 3 sjenica","JZ Srb."
"216","Kleca","Giljeva","1364","43°09,455‘","20°02,576‘","579 3 sjenica","JZ Srb."
"217","Glavica","Gola brda","1318","43°26,612‘","19°27,719‘","577 2 Pljevlja","JZ Srb."
"218","Morno brdo","Gola brda","1293","43°25,192‘","19°27,771‘","577 2 Pljevlja","JZ Srb."
"219","Borova glava","Gola brda","1227","43°25,178‘","19°26,007‘","577 2 Pljevlja","JZ Srb."
"220","Jankov kamen","Golija","1833","43°20,345‘","20°16,908‘","579 2 sjenica","JZ Srb."
"221","Vrhovi","Golija","1801","43°17,766‘","20°20,924‘","579 2 sjenica","JZ Srb."
"222","Crni vrh","Golija","1795","43°18,711‘","20°23,785‘","579 2 sjenica","JZ Srb."
"223","Krnjaca","Golija","1762","43°17,903‘","20°23,838‘","579 2 sjenica","JZ Srb."
"224","Bojevo brdo","Golija","1752","43°20,625‘","20°14,170‘"," 579 1 sjenica","JZ Srb."
"225","Careva glava","Golija","1721","43°18,659‘","20°18,880‘","579 2 sjenica","JZ Srb."
"226","Tašove livade","Golija","1693","43°21,369‘","20°14,529‘"," 579 1 sjenica","JZ Srb."
"227","Kula","Golija","1674","43°16,453‘","20°20,357‘","579 2 sjenica","JZ Srb."
"228","Vlasovo","Golija","1591","43°21,278‘","20°13,557‘"," 579 1 sjenica","JZ Srb."
"229","Jadovita","Golija","1562","43°20,032‘","20°25,773‘","579 2 sjenica","JZ Srb."
"230","Jugovac","Golija","1538","43°21,261‘","20°20,062‘","579 2 sjenica","JZ Srb."
"231","","Golija","1536","43°25,982‘","20°16,670‘","579 2 sjenica","JZ Srb."
"232","Vlaovac","Golija","1535","43°25,059‘","20°18,804‘","579 2 sjenica","JZ Srb."
"233","Žarkovica","Golija","1516","43°25,187‘","20°17,661‘","579 2 sjenica","JZ Srb."
"234","Žarovi","Golija","1508","43°22,137‘","20°16,255‘","579 2 sjenica","JZ Srb."
"235","Krdašev krš","Golija","1506","43°16,688‘","20°17,298‘","579 2 sjenica","JZ Srb."
"236","Tikveš","Golija","1504","43°22,053‘","20°14,365‘"," 579 1 sjenica","JZ Srb."
"237","Javorje","Golija","1482","43°21,052‘","20°12,349‘"," 579 1 sjenica","JZ Srb."
"238","Javor","Golija","1481","43°22,733‘","20°14,318‘"," 579 1 sjenica","JZ Srb."
"239","Ðokovo brdo","Golija","1458","43°25,785‘","20°19,449‘","579 2 sjenica","JZ Srb."
"240","Brežde","Golija","1420","43°17,312‘","20°16,721‘","579 2 sjenica","JZ Srb."
"241","Stojec","Golija","1418","43°21,692‘","20°18,706‘","579 2 sjenica","JZ Srb."
"242","Izrub","Golija","1418","43°21,443‘","20°25,573‘","579 2 sjenica","JZ Srb."
"243","Borovnjak","Golija","1405","43°21,780‘","20°19,735‘","579 2 sjenica","JZ Srb."
"244","Javorovica","Golija","1362","43°22,794‘","20°22,848‘","579 2 sjenica","JZ Srb."
"245","Mladov vrh","Golija","1359","43°22,719‘","20°20,474‘","579 2 sjenica","JZ Srb."
"246","Klekovica","Golija","1331","43°29,714‘","20°17,560‘","579 2 sjenica","JZ Srb."
"247","Klekovica","Golija","1331","4329711","2017565","579 2 sjenica","JZ Srb."
"248","Gradevica","Golija","1308","43°14,831‘","20°20,755‘","579 4 sjenica","JZ Srb."
"249","Vrh","Golija","1271","43°27,511‘","20°18,574‘","579 2 sjenica","JZ Srb."
"250","Stradovsko brdo","Golija","1246","43°12,357‘","20°22,009‘","579 4 sjenica","JZ Srb."
"251","Velika Kovionica","Golija","1242","43°17,298‘","20°27,935‘","579 2 sjenica","JZ Srb."
"252","Kozija glava","Golija","1216","43°31,143‘","20°19,123‘","529 4 Cacak","JZ Srb."
"253","Gradac","Golija","1134","43°13,768‘","20°19,876‘","579 4 sjenica","JZ Srb."
